price_€,rooms,area_sq_m,district,distance_to_sea_m,pr_per_sq_m,class
140000.0,2+1,100.0,Alanya(Center),550.0,1400.0,comfort
82500.0,1+1,50.0,Alanya(Center),550.0,1650.0,comfort
157500.0,1+1,68.0,Mahmutlar,600.0,2316.176470588235,comfort
86000.0,1+1,55.0,Kestel,627.0,1563.6363636363635,comfort
74000.0,1+1,55.0,Mahmutlar,1500.0,1345.4545454545455,comfort
77500.0,1+1,50.0,Kargıcak,200.0,1550.0,comfort
350000.0,3+1,200.0,Kargıcak,4000.0,1750.0,comfort
157500.0,3+1,197.0,Avsallar,800.0,799.4923857868021,econom
147000.0,2+1,125.0,Tosmur,700.0,1176.0,econom
178500.0,5+1,250.0,Oba,2000.0,714.0,econom
304500.0,2+1,135.0,Mahmutlar,50.0,2255.555555555556,comfort
91000.0,1+1,50.0,Oba,2700.0,1820.0,comfort
315000.0,2+1,120.0,Türkler,300.0,2625.0,lux
252000.0,1+1,60.0,Tosmur,245.0,4200.0,lux
220500.0,1+1,50.0,Alanya(Center),150.0,4410.0,lux
189000.0,1+1,57.0,Alanya(Center),150.0,3315.7894736842104,lux
260000.0,1+1,55.0,Oba,50.0,4727.272727272727,lux
229000.0,2+1,120.0,Mahmutlar,400.0,1908.3333333333333,comfort
420000.0,3+1,230.0,Alanya(Center),400.0,1826.0869565217392,comfort
445000.0,3+1,240.0,Kargıcak,1500.0,1854.1666666666667,comfort
102000.0,2+1,110.0,Alanya(Center),400.0,927.2727272727273,econom
110500.0,1+1,65.0,Alanya(Center),250.0,1700.0,comfort
129000.0,1+1,51.0,Oba,1300.0,2529.4117647058824,lux
105000.0,2+1,97.0,Avsallar,1500.0,1082.4742268041236,econom
650000.0,2+1,92.0,Alanya(Center),240.0,7065.217391304348,lux
145000.0,1+1,72.0,Mahmutlar,400.0,2013.888888888889,comfort
75000.0,1+1,75.0,Kestel,150.0,1000.0,econom
72000.0,1+1,57.0,Mahmutlar,800.0,1263.157894736842,econom
75000.0,1+1,54.0,Gazipaşa,2000.0,1388.888888888889,comfort
152500.0,1+1,85.0,Türkler,300.0,1794.1176470588234,comfort
146000.0,2+1,100.0,Avsallar,800.0,1460.0,comfort
121000.0,2+1,140.0,Mahmutlar,350.0,864.2857142857143,econom
88000.0,2+1,125.0,Mahmutlar,350.0,704.0,econom
178500.0,3+2,175.0,Kargıcak,400.0,1020.0,econom
106000.0,1+1,55.0,Oba,2000.0,1927.2727272727277,comfort
126000.0,1+1,45.0,Alanya(Center),600.0,2800.0,lux
140000.0,1+1,55.0,Tosmur,300.0,2545.454545454545,lux
239000.0,2+1,115.0,Mahmutlar,50.0,2078.260869565217,comfort
215500.0,2+1,105.0,Mahmutlar,700.0,2052.3809523809523,comfort
115500.0,2+1,100.0,Cikcilli,1200.0,1155.0,econom
140000.0,2+1,105.0,Mahmutlar,350.0,1333.3333333333333,comfort
220500.0,2+1,86.0,Mahmutlar,50.0,2563.953488372093,lux
72000.0,1+1,57.0,Mahmutlar,800.0,1263.157894736842,econom
205000.0,2+1,73.0,Mahmutlar,50.0,2808.219178082192,lux
86000.0,1+1,65.0,Kestel,600.0,1323.076923076923,comfort
72000.0,1+1,48.0,Mahmutlar,750.0,1500.0,comfort
210000.0,3+1,137.0,Oba,3500.0,1532.846715328467,comfort
70000.0,1+1,50.0,Avsallar,1500.0,1400.0,comfort
126000.0,3+1,130.0,Kargıcak,2000.0,969.2307692307692,econom
226000.0,3+1,110.0,Alanya(Center),150.0,2054.5454545454545,comfort
576500.0,4+1,200.0,Oba,4000.0,2882.5,lux
58000.0,1+1,55.0,Gazipaşa,2200.0,1054.5454545454545,econom
63500.0,1+1,50.0,Payallar,2000.0,1270.0,econom
63500.0,1+1,60.0,Payallar,2000.0,1058.3333333333333,econom
68500.0,1+1,50.0,Avsallar,1200.0,1370.0,comfort
314000.0,3+1,170.0,Kargıcak,100.0,1847.058823529412,comfort
367500.0,4+1,225.0,Kargıcak,500.0,1633.3333333333333,comfort
110500.0,2+1,101.0,Mahmutlar,1200.0,1094.0594059405942,econom
147000.0,2+1,80.0,Alanya(Center),650.0,1837.5,comfort
72000.0,1+1,55.0,Mahmutlar,1300.0,1309.090909090909,comfort
