"district","rooms","price_€","area_sq_m","distance_to_sea_m","avg_pr_per_dist_rooms","price_deviation"
Alanya(Center),"4+1",157500.0,220.0,600.0,585346.15,-427846.15
Alanya(Center),"5+1",255000.0,280.0,1000.0,677500.0,-422500.0
Alanya(Center),"4+1",215500.0,220.0,600.0,585346.15,-369846.15
Kargıcak,"4+1",226000.0,250.0,800.0,562250.0,-336250.0
Kargıcak,"4+1",247000.0,220.0,1500.0,562250.0,-315250.0
Kargıcak,"4+1",258500.0,286.0,2000.0,562250.0,-303750.0
Kargıcak,"4+1",264000.0,260.0,400.0,562250.0,-298250.0
Kargıcak,"4+2",600000.0,250.0,1600.0,895000.0,-295000.0
Alanya(Center),"4+1",330000.0,230.0,800.0,585346.15,-255346.15000000002
Tosmur,"3+1",110500.0,165.0,150.0,365000.0,-254500.0
Kargıcak,"3+1",102000.0,110.0,600.0,353267.86,-251267.86
Alanya(Center),"3+1",142000.0,120.0,2000.0,377776.32,-235776.32
Kargıcak,"3+1",126000.0,130.0,2000.0,353267.86,-227267.86
Alanya(Center),"4+1",365000.0,163.0,200.0,585346.15,-220346.15000000002
Alanya(Center),"4+1",367500.0,165.0,450.0,585346.15,-217846.15000000002
Tosmur,"3+1",152000.0,180.0,400.0,365000.0,-213000.0
Mahmutlar,"3+2",155500.0,185.0,200.0,356333.33,-200833.33000000002
Kargıcak,"4+1",367500.0,225.0,500.0,562250.0,-194750.0
Alanya(Center),"3+1",194500.0,140.0,700.0,377776.32,-183276.32
Mahmutlar,"3+1",86000.0,120.0,350.0,266088.24,-180088.24
Kestel,"4+1",199500.0,200.0,100.0,378850.0,-179350.0
Kargıcak,"3+1",176500.0,150.0,2000.0,353267.86,-176767.86
Konaklı,"3+1",163000.0,120.0,450.0,339600.0,-176600.0
Kestel,"4+1",205000.0,280.0,250.0,378850.0,-173850.0
Tosmur,"3+1",194500.0,165.0,600.0,365000.0,-170500.0
Alanya(Center),"4+1",415000.0,200.0,770.0,585346.15,-170346.15000000002
Kestel,"4+1",210500.0,200.0,200.0,378850.0,-168350.0
Alanya(Center),"3+1",210000.0,180.0,4500.0,377776.32,-167776.32
Mahmutlar,"3+1",99000.0,125.0,400.0,266088.24,-167088.24
Cikcilli,"3+1",152500.0,160.0,900.0,313875.0,-161375.0
Konaklı,"3+1",178500.0,160.0,600.0,339600.0,-161100.0
Kestel,"4+1",220500.0,200.0,200.0,378850.0,-158350.0
Alanya(Center),"3+1",220500.0,100.0,100.0,377776.32,-157276.32
Kargıcak,"3+1",199000.0,214.0,1700.0,353267.86,-154267.86
Alanya(Center),"3+1",226000.0,110.0,150.0,377776.32,-151776.32
Oba,"3+1",130000.0,130.0,450.0,277600.0,-147600.0
Oba,"4+1",148000.0,200.0,400.0,293527.78,-145527.78000000003
Tosmur,"3+1",220500.0,180.0,50.0,365000.0,-144500.0
Oba,"4+1",156500.0,180.0,200.0,293527.78,-137027.78000000003
