age,number_dependent_family_members,monthly_income,number_of_credit_lines,real_estate_loans,ratio_debt_payment_to_income,credit_line_utilization,total_late_payments,target
44,0,8.64241515616962,6,1,0.318334216,0.991796975,0,0
36,1,9.089979015305,14,3,0.679787954,0.457903089,0,0
36,0,8.294299608857235,0,1,0.410897276,0.176499646,0,0
51,0,8.116715624819111,4,0,0.298507463,0.176499646,0,0
75,0,7.601402334583733,6,0,0.011994003,0.054418067,0,0
31,0,8.343077871169383,0,0,0.117829088,0.9999999,0,0
35,0,8.35490952835879,1,0,0.027287697,0.9999999,0,0
47,1,8.79497643168877,6,1,0.311770944,0.176499646,0,0
28,0,7.3783837129967145,2,0,0.102435978,1.013289037,0,0
65,0,9.229260256828693,18,3,0.293886763,0.069324733,0,0
58,0,8.594339400592892,15,0,0.188937021,0.0,1,0
73,1,8.6278397115033,12,1,0.341987466,0.202104091,0,0
56,1,9.291643823040218,4,1,0.2270673919999999,0.246590136,0,0
63,0,6.90875477931522,15,1,1.353646354,0.306956451,0,0
39,0,8.612685172875459,5,1,0.267042356,0.176499646,0,0
33,0,8.589699882202986,12,1,0.294672852,0.166677953,1,0
55,0,9.816512538521721,24,2,0.333369696,0.202586997,0,0
61,2,8.648396877031582,9,0,0.455007893,0.006046135,0,0
61,0,9.259225769705994,9,1,0.288543948,0.027789214,0,0
51,0,8.594339400592892,5,0,0.163334591,0.003498936,0,0
38,3,7.3783837129967145,7,0,0.39287945,0.660930795,0,1
51,0,7.951207156472972,9,1,0.578724903,0.176499646,0,0
60,0,9.852246888342531,12,2,0.144097679,0.17259292,0,0
56,3,8.949235314374855,14,2,0.569072968,0.127799152,2,0
33,0,8.353261499733874,0,0,0.0801131009999999,0.012869006,0,0
57,1,8.665785595466064,0,2,0.294672852,0.1172952759999999,0,0
61,0,9.276689752517717,10,1,0.393786262,0.352883788,0,0
48,1,8.314832179284556,8,3,0.7193927520000001,0.482163145,0,0
49,2,8.572627898304338,5,1,0.5256386,0.902013998,1,1
51,0,7.601402334583733,13,1,1.150924538,0.4088119629999999,1,0
50,2,8.594339400592892,18,2,0.581167239,0.176499646,0,0
44,0,8.21959545417708,13,1,0.619714517,0.067385878,0,0
63,1,9.076923258535832,11,3,0.567020912,0.19285463,0,0
53,1,8.550821372396221,6,0,0.017211371,0.724403927,3,0
56,0,9.105090961257085,4,1,0.51438729,0.954674221,1,1
45,0,7.601402334583733,8,0,1.5,0.321091595,0,0
47,4,9.33423800863242,19,1,0.202137998,0.1359973069999999,1,0
45,0,7.824445930877619,9,2,0.855257897,0.0,0,0
73,0,7.955074273262696,9,0,0.651929825,0.982382871,2,0
49,1,8.594339400592892,9,2,0.399925825,0.0,0,0
51,2,7.613818684808629,6,0,0.5503455079999999,0.995958307,1,0
63,0,8.594339400592892,9,0,0.146549622,0.176499646,0,1
33,2,9.175541866433488,9,1,0.205322013,0.92979667,0,1
36,0,8.514188682395938,12,0,0.084854564,0.00467194,3,0
82,0,8.699681400989514,11,0,0.653724379,0.664529838,1,0
63,0,9.210440366976517,4,0,0.0,0.0,0,0
48,0,9.0280988119824,20,2,0.412766979,0.036251014,0,0
41,2,7.496097345175956,11,0,0.980011105,0.8330200740000001,3,1
38,0,7.696667081526462,7,2,0.992730577,0.140615841,0,0
39,2,8.987321812850125,10,1,0.449193851,0.244227623,0,0
49,2,8.297792626380861,3,0,0.287422167,0.083212385,0,0
51,4,9.44943600950432,6,0,0.058341863,0.006511123,1,0
46,0,8.594339400592892,12,2,0.529998879,0.176499646,0,0
44,0,9.0280988119824,8,0,0.50887929,0.043689474,1,0
38,0,8.09009578318096,3,1,0.316676885,0.0026657779999999,0,0
61,0,8.59932602095476,7,0,0.294672852,0.101020438,0,0
50,2,8.567696173589344,16,0,0.395892755,0.176499646,0,0
45,1,9.275003885301905,12,2,0.279902512,0.0,1,0
51,0,9.007856923358275,9,1,0.138851475,0.002183055,0,0
61,1,8.699681400989514,19,2,0.538243626,0.001945124,0,0
34,4,8.80492526261806,8,3,0.486875656,0.176499646,0,0
68,1,8.294049640102028,10,1,0.3279999999999999,0.0,0,0
45,0,8.884194633072273,12,1,0.211583761,0.007764046,0,0
40,3,8.922791623969637,0,0,0.236101853,0.915204845,0,0
62,1,8.006700845440367,5,0,0.237920693,0.0253139239999999,0,0
38,0,8.566173813637858,10,0,0.365454199,0.997194522,0,0
62,0,10.106469212026385,9,2,0.294672852,0.917733714,0,0
50,0,7.99598047476376,13,1,0.791512294,0.957546484,4,1
